,link,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
8470,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-completa-750250211,vwvolkswagen,40900,pickup,saveiro,manual,2019,45000,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,2 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8471,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-completa-novissima-727077383,vwvolkswagen,39900,pickup,saveiro,manual,2019,38670,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica",0
8472,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-cs-cabine-simples-completa-2018-695829462,vwvolkswagen,34900,0.0,saveiro,manual,2018,1,1.6,flex,hidráulica,branco,0.0,saveiro robust 1.6 total flex 8v,2 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8473,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-flex-18-18-756812753,vwvolkswagen,35900,pickup,saveiro,manual,2018,66191,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme",0
8474,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-flex-2017-761915248,vwvolkswagen,36900,pickup,saveiro,manual,2017,60000,1.6,flex,hidráulica,prata,sim,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8475,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-flex-2019-parcelas-de-969-00-s-entrada-761521035,vwvolkswagen,40800,vanutilitário,saveiro,manual,2019,1,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, som",0
8476,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-flex-2019-s-entrada-r-969-00-748120806,vwvolkswagen,40800,vanutilitário,saveiro,manual,2019,72100,1.6,flex,elétrica,vermelho,sim,saveiro robust 1.6 total flex 8v,2 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som",0
8477,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-flex-8v-cs-747862393,vwvolkswagen,37900,passeio,saveiro,manual,2018,43000,0.0,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v cd,4 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica",0
8478,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-imperdivel-757682889,vwvolkswagen,34900,vanutilitário,saveiro,manual,2017,85000,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,4 portas,ipva pago,"vidro elétrico, air bag, ar condicionado, direção hidráulica",0
8479,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-1-6-msi-unico-dono-2019-755027709,vwvolkswagen,38900,pickup,saveiro,manual,2019,1111,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,0.0,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som",0
